66,Uvod u signale i sisteme,2,1,2,0.00,5,1,Letnji,Biomedicinsko inženjerstvo
67,Matematika 2,4,4,0,0.00,8,1,Letnji,Biomedicinsko inženjerstvo
68,Engleski jezik za inženjere,2,0,0,0.00,2,1,Letnji,Biomedicinsko inženjerstvo
69,Mikroprocesorski sistemi u medicini,3,0,2,0.00,5,2,Zimski,Biomedicinsko inženjerstvo
70,Električna i elektronska merenja,2,0,3,0.00,5,2,Zimski,Biomedicinsko inženjerstvo
71,Osnove biomedicinskog inženjerstva,3,0,2,0.00,5,2,Zimski,Biomedicinsko inženjerstvo
72,Fiziologija sa patofiziologijom,2,0,2,0.00,5,2,Zimski,Biomedicinsko inženjerstvo
73,Engleski jezik za biomedicinsko inženjerstvo,2,0,0,0.00,2,2,Zimski,Biomedicinsko inženjerstvo
74,Digitalna obrada biomedicinskih signala,2,1,1,0.00,4,2,Zimski,Biomedicinsko inženjerstvo
75,Izborna pozicija 1,2,0,0-2,0.00,4,2,Zimski,Biomedicinsko inženjerstvo
76,Sistemi automatskog upravljanja,3,2,1,0.00,6,2,Letnji,Biomedicinsko inženjerstvo
77,Modelovanje i simulacija sistema,3,0,3,0.00,6,2,Letnji,Biomedicinsko inženjerstvo
78,Biomehanika,4,3,0,0.00,7,2,Letnji,Biomedicinsko inženjerstvo
79,Rehabilitacioni uređaji i sistemi,3,0,3,0.00,5,2,Letnji,Biomedicinsko inženjerstvo
80,Materijali i tehnologije izrade elektronskih kola,2,1,2,0.00,6,2,Letnji,Biomedicinsko inženjerstvo
81,Primena radio i mikrotalasa u medicini,3,2,0,0.00,5,3,Zimski,Biomedicinsko inženjerstvo
82,Izborna pozicija 2,2,0,2,0.00,4,3,Zimski,Biomedicinsko inženjerstvo
83,Analiza i obrada biomedicinskih signala,3,2,0,0.00,5,3,Zimski,Biomedicinsko inženjerstvo
84,Izborna pozicija 3,3,1-2,1-2,0.00,6,3,Zimski,Biomedicinsko inženjerstvo
85,Biomedicinska instrumentacija,3,0,3,0.00,6,3,Zimski,Biomedicinsko inženjerstvo
86,Verovatnoća i matematička statistika,2,1,1,0.00,4,3,Zimski,Biomedicinsko inženjerstvo
87,Biomedicinski inženjering u sportskoj fiziologiji,2,0,2,0.00,5,3,Letnji,Biomedicinsko inženjerstvo
88,Neuroinženjering,3,0,3,0.00,6,3,Letnji,Biomedicinsko inženjerstvo
89,Biomehanika neprekidnih sredina,3,1,0,0.00,5,3,Letnji,Biomedicinsko inženjerstvo
90,Senzori i aktuatori u medicini,3,0,1,0.00,5,3,Letnji,Biomedicinsko inženjerstvo
91,Izborna pozicija 4,3,0,3,0.00,6,3,Letnji,Biomedicinsko inženjerstvo
92,Stručna praksa,0,0,0,6.00,3,3,Letnji,Biomedicinsko inženjerstvo
93,Osnove neuralnih proteza,3,0,3,0.00,6,4,Zimski,Biomedicinsko inženjerstvo
94,Mašinsko učenje 1,3,0,2,0.00,6,4,Zimski,Biomedicinsko inženjerstvo
95,Izborna pozicija 5,2,0,2,0.00,4,4,Zimski,Biomedicinsko inženjerstvo
96,Izborna pozicija 6,2,1,1,0.00,4,4,Zimski,Biomedicinsko inženjerstvo
97,Izborna pozicija 7,3,0-1,1-2,0.00,5,4,Zimski,Biomedicinsko inženjerstvo
98,Izborna pozicija 8,2,0,2,0.00,5,4,Zimski,Biomedicinsko inženjerstvo
99,"Oprema i sistemi za pomoć starim, obolelim i hendikepiranim",3,0,3,0.00,5,4,Letnji,Biomedicinsko inženjerstvo
100,Obrada slike u medicini,3,0,2,0.00,5,4,Letnji,Biomedicinsko inženjerstvo
101,Neurorehabilitacioni mikroprocesorski sistemi,3,0,2,0.00,5,4,Letnji,Biomedicinsko inženjerstvo
102,Izborna pozicija 9,2-3,0-1,1-2,0.00,5,4,Letnji,Biomedicinsko inženjerstvo
103,Završni rad - istraživački rad,0,0,0,0.00,5,4,Letnji,Biomedicinsko inženjerstvo
104,Završni rad - izrada i odbrana,0,0,0,4.00,5,4,Letnji,Biomedicinsko inženjerstvo
105,Algebra,3,4,0,1.00,9,1,Zimski,"Energetika, elektronika i telekomunikacije"
106,Osnovi elektrotehnike 1,4,4,0,0.00,9,1,Zimski,"Energetika, elektronika i telekomunikacije"
107,Mehanika,2,2,0,0.00,5,1,Zimski,"Energetika, elektronika i telekomunikacije"
